Experiment;Best solution FA
100;-4.894896488772969
101;-1.1481662015297103
102;-2.620006839413146
103;-2.9274365314806547
104;-2.7271076226791737
105;-3.6877728489217354
106;-3.6823234603064967
107;-3.1238056548803637
108;-3.056174194808631
109;-4.25235914989931
110;-2.8917352359006427
111;-2.620232083073415
112;-4.01008254352617
113;-2.5581356422153503
114;-2.5943050000211496
115;-2.7157470308566363
116;-2.613659791719191
117;-1.5445074759398352
118;-3.417061138774918
119;-2.29752455990579
120;-2.426735308388016
121;-2.47420155905876
122;-2.9269299051634694
123;-1.8085502048217696
124;-3.1482474112573318
125;-3.2491800434973572
126;-2.70741268067417
127;-3.334346458627247
128;-3.183145943553487
129;-3.1353251641974937
130;-2.6857211908459706
131;-2.9581882639148405
132;-2.737795165192254
133;-3.19160443701739
134;-2.5406552149729174
135;-2.309255600077996
136;-2.2857570799306073
137;-2.6629239768316104
138;-1.758134400359944
139;-2.732715734950522
140;-2.555789994557343
141;-2.9144307053933827
142;-2.7255012055574452
143;-2.5390274455287556
144;-2.662981796735853
145;-2.4268888145971332
146;-3.02628233691622
147;-2.4521749210503647
148;-2.5666767969387125
149;-2.658602873183826
150;-2.386749593648877
151;-3.232333332116497
152;-3.4219256238108975
153;-2.2247522585364914
154;-2.5778924456122287
155;-2.340257268898205
156;-2.1494895632430397
157;-3.1014837806062374
158;-2.258934632582068
159;-2.806939668328577
160;-5.275530871243565
161;-2.873043051304548
162;-2.605422066371707
163;-1.911452149006509
164;-2.6731558929071713
165;-2.270457426406669
166;-2.928849994347702
167;-3.579644398671962
168;-2.9436738962466684
169;-4.383952113918054
170;-1.7234057230187836
171;-1.7810327129451753
172;-1.9320610182603861
173;-1.540185193686811
174;-3.0295442225703155
175;-3.3412633219635817
176;-2.3566544129857845
177;-2.212353379766035
178;-3.423927346167984
179;-2.0840299400441737
180;-3.176183238806837
181;-3.751316314314249
182;-3.5516765367178698
183;-2.3733551308124197
184;-2.9263588747405156
185;-3.0104090714046574
186;-3.5780492501646632
187;-2.2316710628507472
188;-3.428589247734881
189;-3.282447741433981
190;-1.8948492509803554
191;-3.147575894760724
192;-4.17890647973738
193;-3.9530344548881917
194;-4.576126332555487
195;-2.3691234767303446
196;-2.5768921392042716
197;-2.789567499523249
198;-2.451512647817474
199;-2.496082716539494
200;-5.1890755776570225
201;-4.603008569015352
202;-2.777347339554968
203;-3.939516891169596
204;-2.8729272479402055
205;-2.4759040224337086
206;-4.60880679230722
207;-3.142107197060582
208;-3.1627366975000393
209;-2.2811138804732964
210;-5.89095224315626
211;-3.105805139126226
212;-3.0456412210779296
213;-3.180117594982117
214;-2.619023865590316
215;-2.5664055130239447
216;-2.5021433365314634
217;-2.4714219326360216
218;-4.992251506799388
219;-1.962506651895089
220;-1.8188638348456432
221;-3.256254656914248
222;-4.7895623007194725
223;-1.4514407198678538
224;-2.0331031046321315
225;-1.629718237067483
226;-4.658689375596308
227;-3.429727035801099
228;-2.761315873046661
229;-3.4786887451342126
230;-3.1273148005242843
231;-2.3360141688268192
232;-2.8651422271614653
233;-2.36263699493052
234;-3.855738782670433
235;-4.585489673527043
236;-2.131001312088443
237;-2.8018511287335155
238;-2.994627389704944
239;-2.186783091158676
240;-2.65742040250826
241;-3.075125012648355
242;-3.3030713209190465
243;-3.0885571381503985
244;-2.008938674368313
245;-2.3662117637635607
246;-1.592838036874477
247;-2.3365534269011095
248;-3.1699631695592294
249;-2.618832114470369
250;-1.681090764074004
Mean;-2.839730447675269
Stddev;0.7611602689814521
