Experiment;Best solution SOMA
241;-3.7944274676627185
242;-3.0687332450279903
243;-2.409263982625024
244;-4.092193385718452
245;-2.871519009689262
246;-2.7880460287603643
247;-2.4495100762135973
248;-2.969463363911474
249;-4.017267747421948
250;-4.139190452445679
Mean;-2.8809931108251403
Stddev;0.7690417641237749
